Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Office,District,Primary Outcome,Runoff Outcome,clean_name,Party,name,office,party,state,district,candidate_status,incumbent_challenge,first_file_date,receipts,disbursements,cash_on_hand_end_period,debts_owed_by_committee,Congress Type
Michelle Vallejo,Female,Latino (Mexican),,,No,No,Texas,Representative,15,Made runoff,Won,Michelle Vallejo,DEM,"VALLEJO, MICHELLE",H,DEM,TX,15.0,C,C,2021-12-12,2346631.22,2334914.06,11717.16,100000.0,House
Veronica Escobar,Female,Latino (Mexican),,,Yes,No,Texas,Representative,16,Won,,Veronica Escobar,DEM,"ESCOBAR, VERONICA",H,DEM,TX,16.0,C,I,2017-08-25,1295134.87,1333277.5,246712.65,0.0,House
Mary Jo Woods,Female,White,,,No,No,Texas,Representative,17,Won,,Mary Woods,DEM,"WOODS, MARY JO",H,DEM,TX,17.0,N,C,,0.0,0.0,0.0,0.0,House
Sheila Jackson Lee,Female,Black,,,Yes,No,Texas,Representative,18,Won,,Sheila Lee,DEM,"LEE, SHEILA JACKSON",H,DEM,TX,18.0,C,I,1994-01-12,977656.39,905360.82,332301.59,0.0,House
Joaquin Castro,Male,Latino (Mexican),,,Yes,No,Texas,Representative,20,Won,,Joaquin Castro,DEM,"CASTRO, JOAQUIN",H,DEM,TX,20.0,C,I,2011-06-23,682068.98,635072.68,162743.57,0.0,House
Cherif Gacis,Male,Latino,,,No,No,Texas,Representative,21,Lost,,Cherif Gacis,DEM,"GACIS, CHERIF",H,DEM,TX,21.0,N,C,2021-09-02,4639.11,4639.11,0.0,0.0,House
Scott William Sturm,Male,White,,,No,No,Texas,Representative,21,Lost,,Scott Sturm,DEM,"STURM, SCOTT WILLIAM",H,DEM,TX,21.0,C,C,2021-04-23,76134.21,76119.34,0.0,0.0,House
Ricardo Villarreal,Male,Latino (Mexican),,,No,No,Texas,Representative,21,Made runoff,Lost,Ricardo Villarreal,DEM,"VILLARREAL, RICARDO",H,DEM,TX,21.0,C,C,2021-11-13,47924.69,46235.4,0.0,0.0,House
Claudia Andreana Zapata,Female,Latino,,,No,No,Texas,Representative,21,Made runoff,Won,Claudia Zapata,DEM,"ZAPATA, CLAUDIA ANDREANA",H,DEM,TX,21.0,C,C,2021-06-02,118238.36,101740.56,16497.8,0.0,House
Jamie Kaye Jordan,Female,White,,,No,No,Texas,Representative,22,Won,,Jamie Jordan,DEM,"JORDAN, JAMIE KAYE MS.",H,DEM,TX,22.0,N,C,2021-12-14,0.0,0.0,0.0,0.0,House
Priscilla Golden,Female,Unknown,,,No,No,Texas,Representative,23,Lost,,Priscilla Golden,DEM,"GOLDEN, PRISCILLA",H,DEM,TX,23.0,N,C,2021-12-11,0.0,0.0,0.0,0.0,House
John Lira,Male,Latino (Mexican),,,No,No,Texas,Representative,23,Won,,John Lira,DEM,"LIRA, JOHN",H,DEM,TX,23.0,C,C,2021-05-19,675078.71,674874.7,204.01,0.0,House
Kathy Fragnoli,Female,White,,,No,No,Texas,Representative,24,Lost,,Kathy Fragnoli,DEM,"FRAGNOLI, KATHY",H,DEM,TX,24.0,C,C,2021-11-18,55326.33,55326.33,0.0,0.0,House
Derrik T. Gay,Male,White,,,No,No,Texas,Representative,24,Made runoff,Lost,Derrik Gay,DEM,"GAY, DERRIK",H,DEM,TX,24.0,C,C,2021-07-05,349044.64,349044.64,0.0,0.0,House
Jan McDowell,Female,White,,,No,No,Texas,Representative,24,Made runoff,Won,Jan Mcdowell,DEM,"MCDOWELL, JAN",H,DEM,TX,24.0,C,C,2015-10-02,136070.11,133444.82,2625.29,0.0,House
Victor Melgoza,Male,Latino,,,No,No,Texas,Representative,27,Lost,,Victor Melgoza,DEM,"MELGOZA, VICTOR",H,DEM,TX,27.0,N,C,2021-12-17,3750.0,3296.96,453.04,5125.0,House
Anthony J. Tristan,Male,Latino,,,No,No,Texas,Representative,27,Lost,,Anthony Tristan,DEM,"TRISTAN, ANTHONY JAMES",H,DEM,TX,27.0,N,C,2021-11-15,4957.99,4785.72,47.05,160.0,House
Tannya Judith Benavides,Female,Latino,,,No,Yes,Texas,Representative,28,Lost,,Tannya Benavides,DEM,"BENAVIDES, TANNYA",H,DEM,TX,28.0,C,C,2021-06-18,32999.76,32999.76,-901.47,0.0,House
Jessica Cisneros,Female,Latino (Mexican),,,No,Yes,Texas,Representative,28,Made runoff,Lost,Jessica Cisneros,DEM,"CISNEROS, JESSICA",H,DEM,TX,28.0,C,C,2019-06-13,6625534.01,6521388.34,107114.77,0.0,House
Henry Cuellar,Male,Latino (Mexican),,,Yes,No,Texas,Representative,28,Made runoff,Won,Henry Cuellar,DEM,"CUELLAR, HENRY",H,DEM,TX,28.0,C,I,2002-01-10,4711961.12,6217608.51,44825.34,0.0,House
Sylvia Garcia,Female,Latino (Mexican),,,Yes,No,Texas,Representative,29,Won,,Sylvia Garcia,DEM,"GARCIA, SYLVIA R.",H,DEM,TX,29.0,C,I,1991-10-10,940934.37,804061.76,384471.59,0.0,House
Jasmine Crockett,Female,Black,,,No,No,Texas,Representative,30,Made runoff,Won,Jasmine Crockett,DEM,"CROCKETT, JASMINE",H,DEM,TX,30.0,C,O,2021-12-08,970008.57,817159.2,152849.37,0.0,House
Arthur Dixon,Male,Black,,,No,No,Texas,Representative,30,Lost,,Arthur Dixon,DEM,"DIXON, ARTHUR",H,DEM,TX,30.0,N,O,2021-12-06,0.0,0.0,0.0,0.0,House
Jane Hope Hamilton,Female,Black,,,No,No,Texas,Representative,30,Made runoff,Lost,Jane Hamilton,DEM,"HAMILTON, JANE HOPE",H,DEM,TX,30.0,C,O,2021-05-10,705217.96,705217.96,0.0,0.0,House
Vonciel Jones Hill,Female,Black,,,No,No,Texas,Representative,30,Lost,,Vonciel Hill,DEM,"HILL, VONCIEL JONES",H,DEM,TX,30.0,C,O,2021-11-20,36438.45,35708.92,2285.84,0.0,House
Barbara Mallory Caraway,Female,Black,,,No,No,Texas,Representative,30,Lost,,Barbara Caraway,DEM,"CARAWAY, BARBARA LEN MALLORY",H,DEM,TX,30.0,C,O,2011-09-07,35371.78,34544.86,900.46,32165.0,House
Jessica Mason,Female,Black,,,No,No,Texas,Representative,30,Lost,,Jessica Mason,DEM,"MASON, JESSICA",H,DEM,TX,30.0,C,C,2020-12-14,290024.13,290024.13,0.0,0.0,House
Abel Mulugheta,Male,Black (Eritrean),,,No,No,Texas,Representative,30,Lost,,Abel Mulugheta,DEM,"MULUGHETA, ABEL",H,DEM,TX,30.0,C,O,2021-10-26,375477.51,375477.51,0.0,0.0,House
Colin Allred,Male,Black,,,Yes,No,Texas,Representative,32,Won,,Colin Allred,DEM,"ALLRED, COLIN",H,DEM,TX,32.0,C,I,2017-04-18,3471591.94,1642112.75,1988901.57,0.0,House
Carlos Quintanilla,Male,Latino,,,No,Yes,Texas,Representative,33,Lost,,Carlos Quintanilla,DEM,"QUINTANILLA, CARLOS",H,DEM,TX,33.0,N,C,2012-03-27,0.0,28745.0,0.0,0.0,House
Marc Veasey,Male,Black,,,Yes,No,Texas,Representative,33,Won,,Marc Veasey,DEM,"VEASEY, MARC ALLISON",H,DEM,TX,33.0,C,I,2011-12-02,1846105.83,1503704.24,810745.15,0.0,House
Laura Cisneros,Female,Latino,,,No,Yes,Texas,Representative,34,Lost,,Laura Cisneros,DEM,"CISNEROS, LAURA E. DR.",H,DEM,TX,34.0,C,C,2021-11-08,204861.12,161359.8,43501.32,200000.0,House
Vicente Gonzalez,Male,Latino,,,Yes,No,Texas,Representative,34,Won,,Vicente Gonzalez,DEM,"GONZALEZ, VICENTE",H,DEM,TX,34.0,C,I,2015-11-21,3197037.46,4263576.11,303953.83,0.0,House
Filemon Meza,Male,Latino,,,No,Yes,Texas,Representative,34,Lost,,Filemon Meza,DEM,"MEZA, FILEMON",H,DEM,TX,34.0,N,C,2021-12-06,0.0,0.0,0.0,0.0,House
William Thompson,Male,White,,,No,Yes,Texas,Representative,34,Lost,,William Thompson,DEM,"THOMPSON, WILLIAM",H,DEM,TX,34.0,C,C,2021-11-22,16845.81,16845.81,-1958.81,0.0,House
Diego Zavala,Male,Latino (Mexican),,,No,Yes,Texas,Representative,34,Lost,,Diego Zavala,DEM,"ZAVALA, DIEGO ALBERTO MR.",H,DEM,TX,34.0,N,C,2022-01-01,0.0,0.0,0.0,0.0,House
Greg Casar,Male,Latino (Mexican),,,No,No,Texas,Representative,35,Won,,Greg Casar,DEM,"CASAR, GREG",H,DEM,TX,35.0,C,C,2021-11-18,1757510.27,1594549.04,162961.23,10000.0,House
Carla-Joy Sisco,Female,Black,,,No,No,Texas,Representative,35,Lost,,Carla-Joy Sisco,DEM,"SISCO, CARLA-JOY",H,DEM,TX,35.0,C,C,2022-01-26,13465.0,13463.84,1.16,9895.0,House
Rebecca Viagran,Female,Latino,,,No,No,Texas,Representative,35,Lost,,Rebecca Viagran,DEM,"VIAGRAN, REBECCA J",H,DEM,TX,35.0,C,C,2021-12-03,110360.0,106952.53,3407.47,0.0,House
Lloyd Doggett,Male,White,,,Yes,No,Texas,Representative,37,Won,,Lloyd Doggett,DEM,"DOGGETT, LLOYD",H,DEM,TX,37.0,C,O,1993-12-16,1389781.62,1282966.2,5312290.62,0.0,House
Donna Imam,Female,Asian (Bangladeshi),,,No,Yes,Texas,Representative,37,Lost,,Donna Imam,DEM,"IMAM, DONNA",H,DEM,TX,37.0,C,O,2019-06-27,244620.11,225683.04,18887.07,0.0,House
Duncan F. Klussmann,Male,White,,,No,No,Texas,Representative,38,Made runoff,Won,Duncan Klussmann,DEM,"KLUSSMANN, DUNCAN FOSTER",H,DEM,TX,38.0,C,O,2021-12-18,279107.58,279107.58,0.0,0.0,House
Centrell Reed,Female,Black,,,No,No,Texas,Representative,38,Lost,,Centrell Reed,DEM,"REED, CENTRELL MS.",H,DEM,TX,38.0,C,O,2021-12-16,25330.46,25270.28,60.18,6496.44,House
Richard E. Fantin,Male,Unknown,,,No,Yes,Indiana,Representative,1,Lost,,Richard Fantin,DEM,"FANTIN, RICHARD E",H,DEM,IN,1.0,N,C,,0.0,0.0,0.0,0.0,House
Frank J. Mrvan,Male,White,,,Yes,No,Indiana,Representative,1,Won,,Frank Mrvan,DEM,"MRVAN, FRANK J.",H,DEM,IN,1.0,C,I,2019-11-17,2483248.03,2543184.67,54290.95,0.0,House
Paul D. Steury,Male,White,,,No,No,Indiana,Representative,2,Won,,Paul Steury,DEM,"STEURY, PAUL MR.",H,DEM,IN,2.0,C,O,2022-03-16,103660.38,102330.9,1639.09,0.0,House
Phillip Beachy,Male,White,,,No,No,Indiana,Representative,3,Lost,,Phillip Beachy,DEM,"BEACHY, PHILLIP D",H,DEM,IN,3.0,N,C,,0.0,0.0,0.0,0.0,House
"Aaron ""A.J."" Calkins",Male,White,,,No,No,Indiana,Representative,3,Lost,,Aaron Calkins,DEM,"CALKINS, AARON (A.J.)",H,DEM,IN,3.0,N,C,,0.0,0.0,0.0,0.0,House
Gary L. Snyder,Male,White,,,No,No,Indiana,Representative,3,Won,,Gary Snyder,DEM,"SNYDER, GARY",H,DEM,IN,3.0,C,C,2021-12-22,74397.02,74374.79,32.23,0.0,House
Roger D. Day,Male,White,,,No,No,Indiana,Representative,4,Won,,Roger Day,DEM,"DAY, ROGER D MR",H,DEM,IN,4.0,N,C,2022-06-15,0.0,0.0,0.0,0.0,House
Roger D. Day,Male,White,,,No,No,Indiana,Representative,4,Won,,Roger Day,DEM,"DAY, ROGER",H,DEM,IN,4.0,N,C,2018-01-24,0.0,0.0,0.0,0.0,House
Howard J. Pollchik,Male,White,,,No,No,Indiana,Representative,4,Lost,,Howard Pollchik,DEM,"POLLCHIK, HOWARD JOSEPH",H,DEM,IN,4.0,N,C,,0.0,0.0,0.0,0.0,House
George Thomas Holland,Male,White,,,No,No,Indiana,Representative,6,Lost,,George Holland,DEM,"HOLLAND, GEORGE THOMAS",H,DEM,IN,6.0,N,C,1976-03-26,0.0,0.0,0.0,0.0,House
"Cynthia ""Cinde"" Wirth",Female,White,,,No,No,Indiana,Representative,6,Won,,Cynthia Wirth,DEM,"WIRTH, CYNTHIA",H,DEM,IN,6.0,C,C,2022-02-10,50771.6,38910.21,-8363.89,0.0,House
Curtis D. Godfrey,Male,Black,,,No,Yes,Indiana,Representative,7,Lost,,Curtis Godfrey,DEM,"GODFREY, CURTIS",H,DEM,IN,7.0,N,C,,0.0,0.0,0.0,0.0,House
Pierre Quincy Pullins,Male,Black,,,No,Yes,Indiana,Representative,7,Lost,,Pierre Pullins,DEM,"PULLINS, PIERRE QUINCY",H,DEM,IN,7.0,N,C,,0.0,0.0,0.0,0.0,House
Adnan H. Dhahir,Male,White,Middle Eastern (Iraqi),,No,No,Indiana,Representative,8,Lost,,Adnan Dhahir,DEM,"DHAHIR, ADNAN",H,DEM,IN,8.0,N,C,2022-02-22,0.0,0.0,0.0,0.0,House
Ray McCormick,Male,White,,,No,No,Indiana,Representative,8,Won,,Ray Mccormick,DEM,"MCCORMICK, RAY",H,DEM,IN,8.0,C,C,2022-01-15,149920.22,137353.27,20075.84,30000.0,House
Matthew Fyfe,Male,White,,,No,No,Indiana,Representative,9,Won,,Matthew Fyfe,DEM,"FYFE, MATTHEW JOHN",H,DEM,IN,9.0,C,O,2021-05-06,122824.28,117102.72,5721.56,0.0,House
Morgan Harper,Female,Black,,,No,No,Ohio,Senator,,Lost,,Morgan Harper,DEM,"HARPER, MORGAN",S,DEM,OH,0.0,C,O,2021-08-18,1318601.26,1312713.5,5887.76,0.0,Senate
"Traci ""TJ"" Johnson",Female,Black,,,No,No,Ohio,Senator,,Lost,,Traci Johnson,DEM,"JOHNSON, TRACI TJ",S,DEM,OH,0.0,N,O,,3909.44,8933.77,-5024.33,0.0,Senate
Greg Landsman,Male,White,,,No,No,Ohio,Representative,1,Won,,Greg Landsman,DEM,"LANDSMAN, GREG",H,DEM,OH,1.0,C,C,2022-01-11,2768116.46,2700067.65,68048.81,0.0,House
Alan Darnowsky,Male,White,,,No,No,Ohio,Representative,2,Lost,,Alan Darnowsky,DEM,"DARNOWSKY, ALAN",H,DEM,OH,2.0,C,C,2022-02-11,12812.75,12812.75,0.0,0.0,House
Samantha Meadows,Female,White ,,,No,No,Ohio,Representative,2,Won,,Samantha Meadows,DEM,"MEADOWS, SAMANTHA",H,DEM,OH,2.0,C,C,2021-11-05,22924.5,28330.05,16.61,0.0,House
Joyce Beatty,Female,Black,,,Yes,No,Ohio,Representative,3,Won,,Joyce Beatty,DEM,"BEATTY, JOYCE",H,DEM,OH,3.0,C,I,2011-12-02,2243895.59,1043001.84,2157483.55,2500.0,House
Jeffrey A. Sites,Male,White,,,No,No,Ohio,Representative,4,Lost,,Jeffrey Sites,DEM,"SITES, JEFFREY ALAN",H,DEM,OH,4.0,C,C,2019-07-10,1020694.34,916816.42,103877.92,0.0,House
Craig Swartz,Male,White,,,No,No,Ohio,Representative,5,Won,,Craig Swartz,DEM,"SWARTZ, CRAIG STEPHEN",H,DEM,OH,5.0,C,C,2021-12-10,54980.87,54692.3,288.57,0.0,House
Martin Alexander,Male,Black,,,No,No,Ohio,Representative,6,Lost,,Martin Alexander,DEM,"ALEXANDER, MARTIN",H,DEM,OH,6.0,N,C,,0.0,0.0,0.0,0.0,House
Eric S. Jones,Male,White,,,No,No,Ohio,Representative,6,Lost,,Eric Jones,DEM,"JONES, ERIC SCOTT",H,DEM,OH,13.0,N,O,2021-08-28,0.0,0.0,0.0,0.0,House
Louis G. Lyras,Male,White,,,No,No,Ohio,Representative,6,Won,,Louis Lyras,DEM,"LYRAS, LOUIS GEORGE",H,DEM,OH,6.0,C,C,2018-07-10,144248.42,132597.38,12853.76,237530.99,House
Matthew Diemer,Male,White,Black,,No,No,Ohio,Representative,7,Won,,Matthew Diemer,DEM,"DIEMER, MATTHEW",H,DEM,OH,7.0,C,O,2021-02-25,276778.53,276778.53,0.0,0.0,House
Tristan Rader,Male,White,,,No,No,Ohio,Representative,7,Lost,,Tristan Rader,DEM,"RADER, TRISTAN",H,DEM,OH,7.0,C,O,2022-03-16,7119.0,5557.07,1561.93,0.0,House
Vanessa Enoch,Female,Black,,,No,No,Ohio,Representative,8,Won,,Vanessa Enoch,DEM,"ENOCH, VANESSA",H,DEM,OH,8.0,N,C,2018-01-26,0.0,0.0,20421.52,0.0,House
Marcy Kaptur,Female,White,,,Yes,No,Ohio,Representative,9,Won,,Marcy Kaptur,DEM,"KAPTUR, MARCY",H,DEM,OH,9.0,C,I,1982-04-20,3393468.71,3785817.76,380046.87,0.0,House
Kirk Benjamin,Male,Unknown,,,No,No,Ohio,Representative,10,Lost,,Kirk Benjamin,DEM,"BENJAMIN, KIRK ALAN",H,DEM,OH,10.0,N,C,2022-01-28,0.0,0.0,0.0,0.0,House
David Esrati,Male,White,,,No,No,Ohio,Representative,10,Won,,David Esrati,DEM,"ESRATI, DAVID",H,DEM,OH,10.0,C,C,2008-01-30,45356.05,45681.07,523.62,0.0,House
Jeff Hardenbrook,Male,White ,,,No,No,Ohio,Representative,10,Lost,,Jeff Hardenbrook,DEM,"HARDENBROOK, JEFF",H,DEM,OH,10.0,N,C,2002-04-09,0.0,0.0,0.0,0.0,House
Baxter Stapleton,Male,White,,,No,No,Ohio,Representative,10,Lost,,Baxter Stapleton,DEM,"STAPLETON, BAXTER",H,DEM,OH,10.0,C,C,2021-03-18,8587.59,9294.62,0.0,0.0,House
Nina Turner,Female,Black,,,No,Yes,Ohio,Representative,11,Lost,,Nina Turner,DEM,"TURNER, NINA",H,DEM,OH,11.0,C,C,2011-12-07,7693037.88,7693037.88,0.0,0.0,House
Michael Fletcher,Male,White,,,No,No,Ohio,Representative,12,Lost,,Michael Fletcher,DEM,"FLETCHER, MICHAEL",H,DEM,OH,12.0,N,C,,0.0,0.0,0.0,0.0,House
Amy Rippel-Elton,Female,White,,,No,No,Ohio,Representative,12,Won,,Amy Rippel-Elton,DEM,"RIPPEL-ELTON, AMY MRS.",H,DEM,OH,12.0,N,C,2022-04-19,0.0,0.0,0.0,0.0,House
Emilia Sykes,Female,Black,,,No,No,Ohio,Representative,13,Won,,Emilia Sykes,DEM,"SYKES, EMILIA",H,DEM,OH,13.0,C,O,2022-01-20,2542383.02,2491705.97,50677.05,0.0,House
Gary Josephson,Male,Unknown,,,No,No,Ohio,Representative,15,Won,,Gary Josephson,DEM,"JOSEPHSON, GARY",H,DEM,OH,15.0,N,C,,0.0,0.0,0.0,0.0,House
Gary Josephson,Male,Unknown,,,No,No,Ohio,Representative,15,Won,,Gary Josephson,DEM,"JOSEPHSON, GARY",H,DEM,OH,15.0,C,C,2022-06-05,43162.48,41465.61,1696.87,0.0,House
Angela J. Dwyer,Female,Black,,,No,No,West Virginia,Representative,2,Lost,,Angela Dwyer,DEM,"DWYER, ANGELA JOYCE",H,DEM,WV,2.0,N,C,2022-01-09,0.0,0.0,0.0,0.0,House
Barry Lee Wendell,Male,White,,,No,No,West Virginia,Representative,2,Won,,Barry Wendell,DEM,"WENDELL, BARRY LEE MR.",H,DEM,WV,2.0,C,C,2022-02-01,28025.43,28025.43,0.0,0.0,House
Alisha Shelton,Female,Black,,,No,No,Nebraska,Representative,2,Lost,,Alisha Shelton,DEM,"SHELTON, ALISHA",H,DEM,NE,2.0,C,C,2021-07-05,340913.94,360381.22,-3682.06,0.0,House
David J. Else,Male,White,,,No,No,Nebraska,Representative,3,Won,,David Else,DEM,"ELSE, DAVID J",H,DEM,NE,3.0,N,C,2020-02-14,0.0,0.0,0.0,0.0,House
Daniel M. Wik,Male,White,,,No,No,Nebraska,Representative,3,Lost,,Daniel Wik,DEM,"WIK, DANIEL MARTIN MD",H,DEM,NE,3.0,N,C,2022-03-13,0.0,0.0,0.0,0.0,House
Charles Booker,Male,Black,,,No,No,Kentucky,Senator,,Won,,Charles Booker,DEM,"BOOKER, CHARLES",S,DEM,KY,0.0,C,C,2020-01-05,6556072.38,6549782.03,6290.35,122089.79,Senate
Ruth Gao,Female,White,,,No,No,Kentucky,Senator,,Lost,,Ruth Gao,DEM,"GAO, RUTH DR.",S,DEM,KY,0.0,C,C,2021-05-14,9914.02,12501.02,-870.47,0.0,Senate
Jimmy C. Ausbrooks,Male,White,,,No,No,Kentucky,Representative,1,Won,,Jimmy Ausbrooks,DEM,"AUSBROOKS, JIMMY CLIFTON",H,DEM,KY,1.0,C,C,2021-08-23,7866.73,7866.73,0.0,4026.73,House
William Dakota Compton,Male,White,,,No,No,Kentucky,Representative,2,Lost,,William Compton,DEM,"COMPTON, WILLIAM DAKOTA",H,DEM,KY,2.0,N,C,2021-02-15,2376.83,853.89,722.0,0.0,House
Hank Linderman,Male,White,,,No,No,Kentucky,Representative,2,Won,,Hank Linderman,DEM,"LINDERMAN, HANK",H,DEM,KY,2.0,C,C,2018-05-17,87461.23,100206.37,25287.62,0.0,House
Morgan McGarvey,Male,White,,,No,No,Kentucky,Representative,3,Won,,Morgan Mcgarvey,DEM,"MCGARVEY, MORGAN",H,DEM,KY,3.0,C,O,2021-10-12,3088931.24,2867874.74,221056.5,0.0,House
Attica Scott,Female,Black,,,No,No,Kentucky,Representative,3,Lost,,Attica Scott,DEM,"SCOTT, ATTICA WOODSON",H,DEM,KY,3.0,C,O,2021-07-05,240509.3,240509.3,0.0,0.0,House
Matthew Lehman,Male,White,,,No,No,Kentucky,Representative,4,Won,,Matthew Lehman,DEM,"LEHMAN, MATTHEW",H,DEM,KY,4.0,C,C,2021-12-20,304093.57,298073.71,6019.86,0.0,House
Conor Halbleib,Male,White,,,No,No,Kentucky,Representative,5,Won,,Conor Halbleib,DEM,"HALBLEIB, CONOR",H,DEM,KY,5.0,C,C,2022-01-18,18701.81,19102.59,623.42,1732.28,House
"Geoffrey M. ""Geoff"" Young",Male,White,,,No,No,Kentucky,Representative,6,Won,,Geoffrey Young,DEM,"YOUNG, GEOFFREY M",H,DEM,KY,6.0,C,C,2014-04-14,239157.17,239130.65,26.52,27.7,House
Suzanne Bonamici,Female,White,,,Yes,No,Oregon,Representative,1,Won,,Suzanne Bonamici,DEM,"BONAMICI, SUZANNE MS.",H,DEM,OR,1.0,C,I,2011-08-08,1037674.86,965259.7,625760.94,0.0,House
Christian Robertson,Male,White,,,No,Yes,Oregon,Representative,1,Lost,,Christian Robertson,DEM,"ROBERTSON, CHRISTIAN",H,DEM,OR,1.0,N,C,,0.0,0.0,0.0,0.0,House
Adam Prine,Male,White,,,No,No,Oregon,Representative,2,Lost,,Adam Prine,DEM,"PRINE, ADAM",H,DEM,OR,2.0,N,C,,0.0,0.0,0.0,0.0,House
Earl Blumenauer,Male,White,,,Yes,No,Oregon,Representative,3,Won,,Earl Blumenauer,DEM,"BLUMENAUER, EARL",H,DEM,OR,3.0,C,I,1995-10-16,1364461.33,1350035.14,771770.99,0.0,House
Jonathan E. Polhemus,Male,White,,,No,Yes,Oregon,Representative,3,Lost,,Jonathan Polhemus,DEM,"POLHEMUS, JONATHAN",H,DEM,OR,3.0,N,C,2022-02-09,0.0,0.0,0.0,0.0,House
Sami Al-Abdrabbuh,Male,Middle Eastern (Saudi),,,No,No,Oregon,Representative,4,Lost,,Sami Al-Abdrabbuh,DEM,"AL-ABDRABBUH, SAMI",H,DEM,OR,4.0,C,O,2022-01-21,57447.35,56996.18,451.17,6954.72,House
Doyle E. Canning,Female,White,,,No,No,Oregon,Representative,4,Lost,,Doyle Canning,DEM,"CANNING, DOYLE",H,DEM,OR,4.0,C,O,2022-02-03,281376.12,281376.12,0.0,0.0,House
